idx,premiseID,time,dailyDelivered,Temp
166,16206,2019-06-16 00:00:00,9701.8425,63.915
167,16206,2019-06-17 00:00:00,9678.2175,62.425
168,16206,2019-06-18 00:00:00,9490.635,59.25666667
169,16206,2019-06-19 00:00:00,9226.5075,67.99541667
170,16206,2019-06-20 00:00:00,9239.73749999999,67.79666667
171,16206,2019-06-21 00:00:00,9204.93,55.23083333
172,16206,2019-06-22 00:00:00,9162.09,51.81416667
173,16206,2019-06-23 00:00:00,9194.22,55.16625
174,16206,2019-06-24 00:00:00,9208.5525,65.43875
175,16206,2019-06-25 00:00:00,9255.96000000001,69.43666667
176,16206,2019-06-26 00:00:00,4340.7,70.50666667
177,16206,2019-06-27 00:00:00,894.2850000000011,72.22791667
178,16206,2019-06-28 00:00:00,944.369999999999,77.90166667
179,16206,2019-06-29 00:00:00,941.3775,80.33791667
180,16206,2019-06-30 00:00:00,925.1550000000011,74.00041667
181,16206,2019-07-01 00:00:00,912.3975,71.1975
182,16206,2019-07-02 00:00:00,901.215000000001,70.62916667
183,16206,2019-07-03 00:00:00,931.6125,74.40333333
184,16206,2019-07-04 00:00:00,908.775,69.6625
185,16206,2019-07-05 00:00:00,910.5075,68.04958333
186,16206,2019-07-06 00:00:00,907.042500000001,67.83083333
187,16206,2019-07-07 00:00:00,914.6025,70.4475
188,16206,2019-07-08 00:00:00,924.052499999999,70.72958333
189,16206,2019-07-09 00:00:00,933.345,72.68625
190,16206,2019-07-10 00:00:00,928.4625,68.66041667
191,16206,2019-07-11 00:00:00,971.145,76.72125
192,16206,2019-07-12 00:00:00,952.4025,76.52
193,16206,2019-07-13 00:00:00,953.6625,75.1975
194,16206,2019-07-14 00:00:00,952.245,76.41916667
195,16206,2019-07-15 00:00:00,947.52,73.51291667
196,16206,2019-07-16 00:00:00,952.0875,73.99208333
197,16206,2019-07-17 00:00:00,970.515,78.45708333
198,16206,2019-07-18 00:00:00,991.777500000001,80.55708333
199,16206,2019-07-19 00:00:00,993.8250000000011,82.23041667
200,16206,2019-07-20 00:00:00,948.6225,74.39916667
201,16206,2019-07-21 00:00:00,947.9925,70.17708333
202,16206,2019-07-22 00:00:00,945.1575,70.735
203,16206,2019-07-23 00:00:00,956.1825,73.9575
204,16206,2019-07-24 00:00:00,965.16,76.25041667
205,16206,2019-07-25 00:00:00,941.85,77.42291667
206,16206,2019-07-26 00:00:00,951.1425,75.83583333
207,16206,2019-07-27 00:00:00,948.9375,74.56541667
208,16206,2019-07-28 00:00:00,960.9075,77.81
209,16206,2019-07-29 00:00:00,960.435,74.89625
210,16206,2019-07-30 00:00:00,674.1,76.13833333
211,16206,2019-07-31 00:00:00,105.9975,77.18916667
212,16206,2019-08-01 00:00:00,104.4225,72.81
213,16206,2019-08-02 00:00:00,105.3675,75.585
214,16206,2019-08-03 00:00:00,106.3125,76.85541667
215,16206,2019-08-04 00:00:00,107.1,77.88833333
216,16206,2019-08-05 00:00:00,104.4225,75.06416667
217,16206,2019-08-06 00:00:00,105.9975,77.07416667
218,16206,2019-08-07 00:00:00,104.58,75.08791667
219,16206,2019-08-08 00:00:00,103.635,71.80125
220,16206,2019-08-09 00:00:00,105.0525,76.75583333
221,16206,2019-08-10 00:00:00,104.265,73.57291667
222,16206,2019-08-11 00:00:00,103.1625,70.5225
223,16206,2019-08-12 00:00:00,103.1625,75.21166667
224,16206,2019-08-13 00:00:00,86.30999999999979,72.57708333
225,16206,2019-08-14 00:00:00,74.97,71.42708333
226,16206,2019-08-15 00:00:00,72.6075,74.91416667
227,16206,2019-08-16 00:00:00,72.2925,69.7125
228,16206,2019-08-17 00:00:00,72.135,71.9275
229,16206,2019-08-18 00:00:00,71.82,68.45375
230,16206,2019-08-19 00:00:00,3224.97,78.52291667
231,16206,2019-08-20 00:00:00,11058.8625,78.81833333
232,16206,2019-08-21 00:00:00,11100.915,71.52125
233,16206,2019-08-22 00:00:00,12925.395,70.65208333
234,16206,2019-08-23 00:00:00,13678.245,71.01083333
235,16206,2019-08-24 00:00:00,13570.83,71.12291667
236,16206,2019-08-25 00:00:00,13446.8775,77.7975
237,16206,2019-08-26 00:00:00,13380.0975,68.88666667
238,16206,2019-08-27 00:00:00,13335.6825,64.63208333
239,16206,2019-08-28 00:00:00,13353.9525,70.01416667
240,16206,2019-08-29 00:00:00,13362.4575,73.48916667
241,16206,2019-08-30 00:00:00,13345.4475,67.24333333
242,16206,2019-08-31 00:00:00,13335.21,73.51166667
243,16206,2019-09-01 00:00:00,13343.085,77.14291667
244,16206,2019-09-02 00:00:00,13361.985,79.92375
245,16206,2019-09-03 00:00:00,15294.3525,74.42166667
246,16206,2019-09-04 00:00:00,16883.055,72.51666667
247,16206,2019-09-05 00:00:00,16892.82,78.90416667
248,16206,2019-09-06 00:00:00,16906.2075,69.98875
249,16206,2019-09-07 00:00:00,16876.755,73.00958333
250,16206,2019-09-08 00:00:00,16841.79,61.35333333
251,16206,2019-09-09 00:00:00,18466.590435,66.59208333
252,16206,2019-09-10 00:00:00,18926.038183,69.04958333
253,16206,2019-09-11 00:00:00,20021.715,63.86
254,16206,2019-09-12 00:00:00,3440.5875000000106,63.17291667
255,16206,2019-09-13 00:00:00,960.5925,61.8525
256,16206,2019-09-14 00:00:00,833.0175,67.48125
257,16206,2019-09-15 00:00:00,835.38,69.61
258,16206,2019-09-16 00:00:00,12786.165,73.46875
259,16206,2019-09-17 00:00:00,19372.9725,71.55375
260,16206,2019-09-18 00:00:00,19336.4325,63.62083333
261,16206,2019-09-19 00:00:00,19326.6675,66.52375
262,16206,2019-09-20 00:00:00,19330.92,68.645
263,16206,2019-09-21 00:00:00,19504.8,61.67375
264,16206,2019-09-22 00:00:00,19415.97,56.49333333
265,16206,2019-09-23 00:00:00,18731.0025,62.1475
266,16206,2019-09-24 00:00:00,19458.495,68.69416667
267,16206,2019-09-25 00:00:00,19449.99,63.97166667
268,16206,2019-09-26 00:00:00,19429.6725,61.21083333
269,16206,2019-09-27 00:00:00,19150.74,58.28083333
270,16206,2019-09-28 00:00:00,19155.15,55.50625
271,16206,2019-09-29 00:00:00,19196.5725,63.12666667
272,16206,2019-09-30 00:00:00,22907.43,58.0125
273,16206,2019-10-01 00:00:00,24150.8925,47.6775
274,16206,2019-10-02 00:00:00,23408.4375,45.98583333
275,16206,2019-10-03 00:00:00,23688.315,49.37708333
276,16206,2019-10-04 00:00:00,24056.0775,53.34791667
277,16206,2019-10-05 00:00:00,23816.3625,55.905
278,16206,2019-10-06 00:00:00,23730.21,51.34458333
279,16206,2019-10-07 00:00:00,22765.5225,50.86333333
280,16206,2019-10-08 00:00:00,24051.6675,56.07916667
281,16206,2019-10-09 00:00:00,23988.0375,51.5575
282,16206,2019-10-10 00:00:00,24112.305,26.43791667
283,16206,2019-10-11 00:00:00,24018.5925,33.27625
284,16206,2019-10-12 00:00:00,23686.74,42.68666667
285,16206,2019-10-13 00:00:00,18507.3525,49.82125
286,16206,2019-10-14 00:00:00,24126.9525,55.37166667
287,16206,2019-10-15 00:00:00,26832.1725,46.44333333
288,16206,2019-10-16 00:00:00,28004.13,51.95666667
289,16206,2019-10-17 00:00:00,28000.8225,56.50125
290,16206,2019-10-18 00:00:00,28012.1625,53.6675
291,16206,2019-10-19 00:00:00,27669.6,49.53291667
292,16206,2019-10-20 00:00:00,26112.0825,44.26708333
293,16206,2019-10-21 00:00:00,26501.58,43.1025
294,16206,2019-10-22 00:00:00,27320.58,48.28291667
295,16206,2019-10-23 00:00:00,27325.7775,44.39875
296,16206,2019-10-24 00:00:00,27258.9975,35.54
297,16206,2019-10-25 00:00:00,27150.165,42.27791667
298,16206,2019-10-26 00:00:00,26707.275,47.67625
299,16206,2019-10-27 00:00:00,26410.7025,23.56666667
300,16206,2019-10-28 00:00:00,26929.35,20.25125
301,16206,2019-10-29 00:00:00,25719.2775,13.18125
302,16206,2019-10-30 00:00:00,26773.8975,13.3925
303,16206,2019-10-31 00:00:00,27060.2325,25.28166667
304,16206,2019-11-01 00:00:00,26293.8375,33.02958333
305,16206,2019-11-02 00:00:00,26383.9275,32.54625
306,16206,2019-11-03 00:00:00,27490.12875,43.155
307,16206,2019-11-04 00:00:00,26232.255,40.56
308,16206,2019-11-05 00:00:00,25826.3775,40.84
309,16206,2019-11-06 00:00:00,22197.5775,34.06708333
310,16206,2019-11-07 00:00:00,26924.7825,32.00166667
311,16206,2019-11-08 00:00:00,26967.9375,45.97458333
312,16206,2019-11-09 00:00:00,26645.535,52.00875
313,16206,2019-11-10 00:00:00,26466.615,44.49125
314,16206,2019-11-11 00:00:00,26833.905,16.62375
315,16206,2019-11-12 00:00:00,16562.8575,32.83083333
316,16206,2019-11-13 00:00:00,15802.4475,47.76625
317,16206,2019-11-14 00:00:00,26658.6075,39.21125
318,16206,2019-11-15 00:00:00,27095.04,44.13375
319,16206,2019-11-16 00:00:00,26638.7625,47.31791667
320,16206,2019-11-17 00:00:00,24888.6225,41.02208333
321,16206,2019-11-18 00:00:00,27125.7525,53.03
322,16206,2019-11-19 00:00:00,27079.1325,44.79833333
323,16206,2019-11-20 00:00:00,27038.97,40.71958333
324,16206,2019-11-21 00:00:00,25774.7175,27.07708333
325,16206,2019-11-22 00:00:00,26943.21,29.48083333
326,16206,2019-11-23 00:00:00,26519.3775,39.65916667
327,16206,2019-11-24 00:00:00,26261.55,44.55375
328,16206,2019-11-25 00:00:00,26938.485,33.37416667
329,16206,2019-11-26 00:00:00,25377.03,20.74125
330,16206,2019-11-27 00:00:00,26554.5,8.919583333
331,16206,2019-11-28 00:00:00,22523.6025,19.77166667
332,16206,2019-11-29 00:00:00,23387.9625,25.01208333
333,16206,2019-11-30 00:00:00,25438.455,30.44916667
334,16206,2019-12-01 00:00:00,25694.0775,19.99166667
335,16206,2019-12-02 00:00:00,25714.395,31.18041667
336,16206,2019-12-03 00:00:00,25733.61,38.92958333
337,16206,2019-12-04 00:00:00,25719.9075,33.6275
338,16206,2019-12-05 00:00:00,25725.105,34.88333333
339,16206,2019-12-06 00:00:00,25872.525,31.24875
340,16206,2019-12-07 00:00:00,25694.235,35.955
341,16206,2019-12-08 00:00:00,24830.6625,39.85583333
342,16206,2019-12-09 00:00:00,25728.7275,29.96666667
343,16206,2019-12-10 00:00:00,25882.29,28.35125
344,16206,2019-12-11 00:00:00,25735.185,31.14166667
345,16206,2019-12-12 00:00:00,25895.205,35.78083333
346,16206,2019-12-13 00:00:00,25793.145,36.70166667
347,16206,2019-12-14 00:00:00,25870.7925,27.8075
348,16206,2019-12-15 00:00:00,25655.805,23.10125
349,16206,2019-12-16 00:00:00,25934.58,21.29916667
350,16206,2019-12-17 00:00:00,21739.725,22.6425
351,16206,2019-12-18 00:00:00,22364.8425,28.83375
352,16206,2019-12-19 00:00:00,22238.055,31.40458333
353,16206,2019-12-20 00:00:00,22188.1275,32.04875
354,16206,2019-12-21 00:00:00,22243.2525,34.60833333
355,16206,2019-12-22 00:00:00,22202.6175,38.68333333
356,16206,2019-12-23 00:00:00,22309.4025,40.69541667
357,16206,2019-12-24 00:00:00,22085.91,40.925
358,16206,2019-12-25 00:00:00,21759.0975,36.96666667
359,16206,2019-12-26 00:00:00,22029.6825,31.54
360,16206,2019-12-27 00:00:00,22008.105,28.28083333
361,16206,2019-12-28 00:00:00,21960.855,26.7275
362,16206,2019-12-29 00:00:00,21944.6325,26.32375
363,16206,2019-12-30 00:00:00,22490.055,21.5425
364,16206,2019-12-31 00:00:00,22346.73,24.46791667
365,16206,2020-01-01 00:00:00,22042.2825,37.86083333
366,16206,2020-01-02 00:00:00,22384.53,39.68875
367,16206,2020-01-03 00:00:00,22512.2625,31.72
368,16206,2020-01-04 00:00:00,22103.0775,37.94541667
369,16206,2020-01-05 00:00:00,22199.625,35.45791667
370,16206,2020-01-06 00:00:00,15848.91,36.675
371,16206,2020-01-07 00:00:00,15269.7825,43.14916667
372,16206,2020-01-08 00:00:00,13515.8625,38.56875
373,16206,2020-01-09 00:00:00,13043.6775,35.39333333
374,16206,2020-01-10 00:00:00,13028.715,26.29875
375,16206,2020-01-11 00:00:00,13022.5725,24.78041667
376,16206,2020-01-12 00:00:00,13036.4325,30.24083333
377,16206,2020-01-13 00:00:00,13037.535,29.60666667
378,16206,2020-01-14 00:00:00,13059.7425,34.24791667
379,16206,2020-01-15 00:00:00,13059.1125,32.23791667
380,16206,2020-01-16 00:00:00,13060.53,24.94041667
381,16206,2020-01-17 00:00:00,13064.625,33.14583333
382,16206,2020-01-18 00:00:00,13061.9475,28.76291667
383,16206,2020-01-19 00:00:00,13079.2725,29.20083333
384,16206,2020-01-20 00:00:00,13089.51,30.70791667
385,16206,2020-01-21 00:00:00,13098.96,37.04083333
386,16206,2020-01-22 00:00:00,13132.8225,42.89083333
387,16206,2020-01-23 00:00:00,13109.67,37.08083333
